Time,Area1,Area2,Area3,Area4,Area5,IMV1,IMV2,IMV3,IMV4,IMV5,,Average IMV,Concentration_micromolar,,,Cells/area 1,Cells/Area 2,Cells/Area 3,Cells/ Area 4,Cells/Area 5,SUM,,WA1,WA2,WA3,WA4,WA5
68400,94.388,129.803,57.95,112.567,115.202,1187.992,1159.375,1177.079,1191.23,1196.997,,1182.208734,1.29E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
70200,94.388,129.803,57.95,112.567,115.202,1162.76,1137.014,1150.825,1168.089,1173.159,,1158.368243,1.26E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
72000,94.388,129.803,57.95,112.567,115.202,1133.97,1116.201,1127.148,1142.051,1142.603,,1132.399866,1.23E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
73800,94.388,129.803,57.95,112.567,115.202,1153.725,1142.199,1147.811,1165.733,1164.253,,1155.14293,1.26E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
75600,94.388,129.803,57.95,112.567,115.202,1150.319,1142.627,1150.216,1166.44,1160.31,,1154.159992,1.26E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
77400,94.388,129.803,57.95,112.567,115.202,1140.018,1137.488,1136.845,1156.993,114.885,,911.294016,9.93E-01,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
79200,94.388,129.803,57.95,112.567,115.202,1111.803,1119.57,1119.385,1131.711,1119.919,,1120.867833,1.22E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
81000,94.388,129.803,57.95,112.567,115.202,1103.944,1118.12,1112.704,1131.095,1112.903,,1116.563921,1.22E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
82800,94.388,129.803,57.95,112.567,115.202,1123.319,1137.837,1130.636,1143.815,1128.141,,1133.459817,1.23E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
84600,94.388,129.803,57.95,112.567,115.202,1097.733,1121.011,1109.055,1121.197,1101.978,,1111.085216,1.21E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
86400,94.388,129.803,57.95,112.567,115.202,1094.229,1120.035,1105.261,1117.813,1096.184,,1107.701812,1.21E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
88200,94.388,129.803,57.95,112.567,115.202,1044.618,1076.553,1061.045,1071.231,1043.48,,1060.235098,1.16E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
90000,94.388,129.803,57.95,112.567,115.202,1047.881,1085.031,1067.481,1075.225,1045.019,,1064.959243,1.16E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
91800,94.388,129.803,57.95,112.567,115.202,1072.214,1113.955,1093.904,1100.545,1068.094,,1090.633089,1.19E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
93600,94.388,129.803,57.95,112.567,115.202,1049.328,1099.531,1079.357,1081.603,1046.753,,1072.069265,1.17E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
95400,94.388,129.803,57.95,112.567,115.202,1042.924,1095.102,1067.271,1073.927,1035.644,,1064.180152,1.16E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
97200,94.388,129.803,57.95,112.567,115.202,1034.627,1092.802,1066.498,1065.7,1021.481,,1056.956673,1.15E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
99000,94.388,129.803,57.95,112.567,115.202,974.464,1039.918,1013.33,1008.476,966.036,,1001.156481,1.09E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
100800,94.388,129.803,57.95,112.567,115.202,992.381,1060.786,1031.052,1023.25,977.434,,1017.637882,1.11E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
102600,94.388,129.803,57.95,112.567,115.202,955.912,1031.908,1002.412,990.118,945.183,,985.6808239,1.07E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
104400,94.388,129.803,57.95,112.567,115.202,943.142,1021.432,991.031,974.003,927.79,,971.8712646,1.06E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
106200,94.388,129.803,57.95,112.567,115.202,931.741,1018.568,983.588,963.263,917.725,,963.5424605,1.05E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
108000,94.388,129.803,57.95,112.567,115.202,947.044,1041.192,1005.096,977.05,932.498,,980.9614169,1.07E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
109800,94.388,129.803,57.95,112.567,115.202,905.028,1000.253,963.399,931.324,886.954,,737.3762184,8.03E-01,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
111600,94.388,129.803,57.95,112.567,115.202,848.26,943.907,908.808,972.058,831.833,,715.2919756,7.79E-01,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
113400,94.388,129.803,57.95,112.567,115.202,835.778,930.105,889.543,852.07,815.722,,680.8030503,7.42E-01,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
