ID,SPB74 log 2,virido log2,J1074 log2,AA4 log2
258,-2.439668449,-0.636181231,-1.255834712,-2.541389876
259,null,null,null,null
260,-0.162837777,-0.271387085,0.057773343,-0.820796424
261,null,null,null,null
262,null,null,null,null
263,null,null,null,null
264,null,null,null,null
265,null,null,null,null
266,null,null,null,null
267,null,null,null,null
268,2.504566125,4.522579465,3.292393344,2.931739391
269,0.525710281,0.701750347,0.052388458,0.320788942
270,0.849797718,1.656456734,0.898984851,1.013737408
271,null,null,null,null
272,null,null,null,null
273,null,null,null,null
274,null,null,null,null
275,null,null,null,null
276,null,null,null,null
277,-0.38116802,-0.526121873,-0.460518684,-0.650653186
278,null,null,null,null
279,null,null,null,null
280,0.180301054,-0.291996927,-0.934150979,0.700147778
281,0.163439318,-0.063288763,-0.563393636,-3.280639769
282,null,null,null,null
283,0.525974759,1.346592659,1.266277205,0.156652593
284,null,null,null,null
285,null,null,null,null
286,null,null,null,null
287,null,null,null,null
288,0.572350783,-0.848238755,-1.119772056,-0.64066019
289,null,null,null,null
290,null,null,null,null
291,null,null,null,null
292,null,null,null,null
293,null,null,null,null
294,null,null,null,null
295,null,null,null,null
296,null,null,null,null
297,1.003053657,1.819980818,1.302704282,0.194766512
298,null,null,null,null
299,null,null,null,null
300,null,null,null,null
301,null,null,null,null
302,null,null,null,null
303,null,null,null,null
304,0.313047163,-0.0274252,-0.483456872,-1.074345282
305,0.512317356,0.854964752,1.157197769,0.37154369
306,null,null,null,null
307,null,null,null,null
308,0.233984044,-0.124625981,0.444558255,-0.612143486
309,null,null,null,null
310,null,null,null,null
311,null,null,null,null
312,null,null,null,null
313,null,null,null,null
314,-0.670629974,2.757950832,1.925262403,2.736673378
315,null,null,null,null
316,null,null,null,null
317,null,null,null,null
318,null,null,null,null
319,1.279836727,3.488992415,4.421305402,5.261926559
320,0.694874226,4.105107698,3.722631453,2.918414802
321,null,null,null,null
322,null,null,null,null
323,5.265593491,5.338245566,6.62162037,5.199638935
324,7.662105674,6.379179601,7.558099284,5.518278012
325,2.329370026,3.177204924,4.421305402,3.040610758
326,1.11368631,1.249663847,1.026945795,-0.262283785
327,null,null,null,null
328,null,null,null,null
329,null,null,null,null
330,null,null,null,null
331,null,null,null,null
332,null,null,null,null
333,null,null,null,null
334,null,null,null,null
335,0.274378474,1.0307599,0.636762721,0.990273463
336,-0.561421955,0.956869718,1.782488785,1.80249494
337,null,null,null,null
338,null,null,null,null
339,null,null,null,null
340,0.193154489,-0.23474063,-0.324376084,-0.635651286
341,-1.339118754,1.661829541,0.891234341,1.821211851
342,0.460917034,2.455710457,2.205370322,2.894668074
343,-3.207703543,0.904029914,0.854873075,-0.959389242
344,null,null,null,null
345,null,null,null,null
346,null,null,null,null
347,null,null,null,null
348,null,null,null,null
349,null,null,null,null
350,-0.942555694,1.447439227,1.326776957,1.797191356
351,0.904160858,0.541008344,0.754462886,1.480164983
352,null,null,null,null
353,null,null,null,null
354,null,null,null,null
355,-1.491121847,0.006494575,0.629399817,1.040610758
356,null,null,null,null
357,null,null,null,null
358,null,null,null,null
359,-0.880017601,-0.179839098,0.18396859,0.735959194
360,null,null,null,null
361,-0.160735864,0.140158959,0.314303752,0.221888606
362,null,null,null,null
363,-0.391586174,1.258740174,0.355862731,1.433654036
364,null,null,null,null
365,null,null,null,null
366,-0.473971359,0.51960653,0.100748286,-0.696083847
367,0.830806248,1.451423698,2.587545164,1.263003179
368,null,null,null,null
369,0.650574606,-1.072036604,-0.230741305,0.321631796
370,null,null,null,null
371,null,null,null,null
372,-1.011361969,1.563774678,0.767232524,1.056265497
373,0.617316062,0.03744923,0.316353583,-0.09302074
374,null,null,null,null
375,null,null,null,null
376,null,null,null,null
377,0.768550686,2.675804235,2.313754782,0.777576352
378,1.087191649,2.126163536,2.673451507,1.212229372
379,null,null,null,null
380,0.295092914,0.686515801,0.765172113,-0.495260297
381,null,null,null,null
382,null,null,null,null
383,1.427319128,2.824941335,2.545481246,1.188504231
384,1.512794541,2.18686944,1.885839176,0.688472414
385,1.718003246,2.037402166,1.77636953,0.642189503
386,null,null,null,null
387,null,null,null,null
388,1.371641696,2.29037413,1.96215768,0.581162181
389,null,null,null,null
390,2.029078859,2.905619587,2.761488823,1.452136195
391,null,null,null,null
392,null,null,null,null
393,null,null,null,null
394,0.61967147,2.256953173,2.167962744,0.828107934
395,null,null,null,null
396,0.427943241,1.540075513,1.37927113,0.430657183
397,0.742084023,2.108778662,1.784995299,0.402002822
398,null,null,null,null
399,1.048191258,1.967711692,1.783766639,0.349358095
400,null,null,null,null
401,null,null,null,null
402,1.369549689,1.727658196,1.556527155,1.128257593
403,0.988625307,0.368408161,0.176268806,0.936604299
404,null,null,null,null
405,0.292232433,0.683901279,0.740736162,0.356773463
406,-0.099116515,0.546833978,0.388334382,0.716208159
407,null,null,null,null
408,null,null,null,null
409,null,null,null,null
410,-0.552123734,0.430518366,0.748459625,-0.145403551
411,-0.018943658,0.460757637,0.790709546,-0.319961145
412,-0.22224371,0.242645922,0.171595798,-0.039528037
413,0.099289148,-0.137248223,-0.060863008,0.19375334
414,null,null,null,null
415,-1.101990336,1.108513011,1.38665628,0.625573258
416,-1.121406299,-0.451295245,-0.556886839,1.521793667
417,-0.686952837,0.997439993,0.916250496,0.513972997
418,null,null,null,null
419,null,null,null,null
420,null,null,null,null
421,null,null,null,null
422,null,null,null,null
423,null,null,null,null
424,-0.686952837,0.263984809,0.178010236,-0.544351743
425,0.052330481,-0.143137829,0.042103982,0.980533069
426,2.889840625,1.489293265,0.552505655,-0.455907669
427,null,null,null,null
428,null,null,null,null
429,null,null,null,null
430,null,null,null,null
431,1.567820914,1.162338563,1.014122823,1.063666544
432,null,null,null,null
433,null,null,null,null
434,null,null,null,null
435,null,null,null,null
436,null,null,null,null
437,-1.183323826,-2.745050678,-2.237886116,-1.067281226
438,null,null,null,null
439,-0.687051449,-0.774726037,-1.003819718,0.328130746
440,-0.350242282,-1.387909144,-1.770864536,-0.70509042
441,null,null,null,null
442,1.121061731,-0.376020506,0.061852435,-1.620301081
443,1.072721192,-0.042233127,0.28386213,-0.588035393
444,-0.432005244,0.516157037,0.55916905,-0.107909184
445,0.043337438,2.612034425,2.225116584,2.019583777
446,1.369161804,2.890455168,2.249780115,0.040610758
447,null,null,null,null
448,null,null,null,null
449,null,null,null,null
450,-0.414933174,0.286048311,0.340207868,1.101492878
451,0.15272635,1.427251454,1.538438385,1.140242724
452,null,null,null,null
453,null,null,null,null
454,null,null,null,null
455,null,null,null,null
456,null,null,null,null
457,-0.442956259,-1.066916682,-1.115788033,-0.537170399
458,null,null,null,null
459,1.403954887,1.361923705,1.444214535,2.526666778
460,-0.521780237,-0.244830555,-0.334361574,-0.867651624
461,null,null,null,null
462,null,null,null,null
463,0.74827062,0.941592489,0.45571037,1.07826321
464,-0.89577053,-0.672877498,-1.274908762,-0.070908502
465,null,null,null,null
466,null,null,null,null
467,-0.507401678,-0.250664499,0.132971804,-0.489459247
468,-0.54786439,-0.630814802,-0.509262297,0.036265385
469,0.096927409,-0.614821586,-0.677522038,-0.340649787
470,null,null,null,null
471,null,null,null,null
472,-0.003497204,3.218614363,2.799030399,6.151273826
473,null,null,null,null
474,null,null,null,null
475,null,null,null,null
476,null,null,null,null
477,0.83317648,0.851533069,0.66218376,1.745553208
478,-0.789731091,-0.9737971,-0.35090238,-1.610969025
479,null,null,null,null
480,null,null,null,null
481,null,null,null,null
482,null,null,null,null
483,1.150181672,0.518928315,0.403900183,0.812869423
484,null,null,null,null
485,null,null,null,null
486,null,null,null,null
487,null,null,null,null
488,null,null,null,null
489,2.603862757,2.717175083,2.607553264,2.543386715
490,null,null,null,null
491,null,null,null,null
492,null,null,null,null
493,null,null,null,null
494,null,null,null,null
495,null,null,null,null
496,null,null,null,null
497,null,null,null,null
498,null,null,null,null
499,null,null,null,null
500,1.111861525,1.523655467,1.556996368,0.431814813
501,0.203040437,-0.012032882,0.084968175,-0.54684322
502,-0.222663613,1.432883112,1.08564336,0.251307595
503,0.18461388,-0.775184429,-3.52686539,-0.833242402
504,null,null,null,null
505,1.453356778,1.27113093,0.98187785,1.326190116
506,null,null,null,null
507,-1.720163273,-0.576701494,-1.708811498,-1.959389242
508,null,null,null,null
509,null,null,null,null
510,null,null,null,null
511,null,null,null,null
512,null,null,null,null
513,-0.174730121,-0.734499041,-0.668729073,-0.632898113
514,0.362794623,0.197917989,0.415155414,0.248662805
515,null,null,null,null
516,null,null,null,null
517,null,null,null,null
518,null,null,null,null
519,null,null,null,null
520,null,null,null,null
521,null,null,null,null
522,null,null,null,null
523,null,null,null,null
524,null,null,null,null
525,0.11019556,-0.031339188,0.005580436,-0.005341078
526,null,null,null,null
527,null,null,null,null
528,null,null,null,null
529,null,null,null,null
530,null,null,null,null
531,null,null,null,null
532,null,null,null,null
533,null,null,null,null
534,null,null,null,null
535,null,null,null,null
536,-0.927537052,0.584577082,0.895837738,0.605260543
537,0.525974759,0.846417234,1.440801416,1.674873395
538,null,null,null,null
539,null,null,null,null
540,null,null,null,null
541,null,null,null,null
542,null,null,null,null
543,null,null,null,null
544,1.451711563,0.450727853,0.243806448,0.159371749
545,-0.497770852,3.683135101,3.395939579,2.32692489
546,null,null,null,null
547,null,null,null,null
548,null,null,null,null
549,null,null,null,null
550,0.146099692,-0.269389525,-0.315925302,-0.96717044
551,null,null,null,null
552,null,null,null,null
553,-1.824643729,0.966862245,0.366365411,-0.959389242
554,null,null,null,null
555,null,null,null,null
556,-0.352447548,0.312047405,0.183594936,0.570437659
557,null,null,null,null
558,-1.253892961,0.254991886,0.704196131,-0.798725318
559,-0.753337591,-0.53838896,-0.532216955,-0.453369495
560,null,null,null,null
561,null,null,null,null
562,-0.711404322,0.090590301,0.183762038,0.230977436
563,-1.160353258,-0.671106673,-0.622362888,-0.157870511
564,-2.40960623,-0.992886478,-1.491558066,0.158406574
565,null,null,null,null
566,-0.223603789,-0.225339813,-0.490782489,-1.473284847
567,null,null,null,null
568,null,null,null,null
569,null,null,null,null
570,null,null,null,null
571,0.459382657,-1.272957275,-1.173571945,-0.031925968
572,null,null,null,null
573,1.314412861,-0.281766894,-0.141877089,0.670478441
574,null,null,null,null
575,null,null,null,null
576,null,null,null,null
577,0.045503332,-0.945316859,-1.178455739,0.234765025
578,null,null,null,null
579,null,null,null,null
580,null,null,null,null
581,null,null,null,null
582,null,null,null,null
583,null,null,null,null
584,null,null,null,null
585,null,null,null,null
586,0.245843747,3.994894346,4.723183717,3.218674233
587,1.32519048,4.400669897,5.445766016,3.389993534
588,null,null,null,null
589,null,null,null,null
590,null,null,null,null
591,null,null,null,null
592,2.467900521,2.108255479,2.576697143,1.479294931
593,0.512520076,1.142248142,0.561319577,1.027822929
594,null,null,null,null
595,0.569343344,2.339201349,2.664372687,1.226276259
596,null,null,null,null
597,0.93748739,1.36262814,2.279364423,0.870012579
598,null,null,null,null
599,null,null,null,null
600,null,null,null,null
601,-0.700145415,1.768875243,2.502224753,1.507269157
602,-0.605160657,0.845181877,1.455937265,-0.065820501
603,null,null,null,null
604,0.163439318,0.797167652,1.145802247,2.69174784
605,null,null,null,null
606,-1.058913137,0.140883727,0.5831742,0.925400362
607,null,null,null,null
608,null,null,null,null
609,-0.326975198,0.085730292,0.053505598,-0.576123595
610,null,null,null,null
611,-1.314351453,-0.50934641,-0.443154058,-0.583477751
612,-2.86963347,-0.499662965,-0.143035419,-0.772011598
613,null,null,null,null
614,-0.824643729,2.930802125,3.181738237,3.416935492
615,-0.444874909,-0.7535171,-0.513345878,-0.615178132
616,3.735129417,2.824288127,2.618927392,2.028447881
617,null,null,null,null
618,0.814427758,0.734630614,1.011854282,1.901702066
619,0.279836727,0.197063648,-0.507787331,0.10913903
620,-0.211920526,1.546271744,2.076408896,1.175037778
621,0.550470201,1.47718657,2.555566002,2.534833633
622,null,null,null,null
623,null,null,null,null
624,-0.69518405,2.376640362,1.465707749,1.925061617
625,null,null,null,null
626,-3.40960623,-0.407757576,-0.664026484,-0.222423648
627,null,null,null,null
628,-0.695853508,-0.191605229,-0.000137118,0.911122691
629,null,null,null,null
630,null,null,null,null
631,1.778612471,2.094705449,2.202422563,0.797142664
632,null,null,null,null
633,-0.73463373,-1.558872947,-1.927169855,-1.726851548
634,null,null,null,null
635,0.480468669,0.131859124,0.078475483,0.138323191
636,null,null,null,null
637,0.375723122,0.184891687,0.415111753,0.503955538
638,null,null,null,null
639,0.319225008,0.033543189,-0.041429606,-0.115433058
640,-0.460833373,0.123062719,0.244860762,-0.280641444
641,null,null,null,null
642,0.20742265,-0.268007627,0.318104376,-0.939131431
643,null,null,null,null
644,0.966253404,5.117575459,6.128896438,3.888138088
645,null,null,null,null
646,null,null,null,null
647,null,null,null,null
648,null,null,null,null
649,null,null,null,null
650,null,null,null,null
651,null,null,null,null
652,null,null,null,null
653,1.581465297,-1.005377369,1.022250197,0.937914572
654,-1.626545808,1.624357844,1.991750163,1.447134151
655,null,null,null,null
656,null,null,null,null
657,null,null,null,null
658,null,null,null,null
659,null,null,null,null
660,null,null,null,null
661,null,null,null,null
662,null,null,null,null
663,null,null,null,null
664,-0.497153944,-1.195650257,-0.963753001,-1.59611704
665,-0.692934512,-0.176277032,0.71269636,-0.795348481
666,null,null,null,null
667,-0.328271716,-0.429276731,0.137245864,-0.791796542
668,null,null,null,null
669,null,null,null,null
670,null,null,null,null
671,0.279145477,-0.123212017,-0.314281642,-0.419920893
672,null,null,null,null
673,1.120823776,2.070183077,2.138857584,1.338819965
674,null,null,null,null
675,1.023467683,2.265919455,2.549528036,2.731937014
676,null,null,null,null
677,null,null,null,null
678,-2.548142321,-0.84512467,-0.280698973,-0.146385079
679,1.142807085,1.481337687,1.347414853,-0.22020839
680,null,null,null,null
681,null,null,null,null
682,2.018930709,3.466873538,3.490779834,1.337678109
683,1.657486168,2.381097783,2.391002124,0.627134071
684,1.350525195,2.893327339,3.165016673,1.578851222
685,1.593761118,2.99753268,3.28363719,1.268504832
686,-0.916944348,-0.040954414,-0.136069182,-0.049637513
687,null,null,null,null
688,-0.435350643,-0.741519349,-0.96457756,-0.240159719
689,null,null,null,null
690,null,null,null,null
691,null,null,null,null
692,0.122455399,0.530087425,1.151553816,-0.362653333
693,2.690728734,-0.415384478,0.532551874,-1.221576638
694,0.303392242,-0.093953829,-0.413618929,0.297332267
695,-0.172770668,-0.524352393,-0.851790964,-0.285485881
696,1.371865907,0.941650403,0.877070321,-0.572095096
697,null,null,null,null
698,-0.194863398,0.806460375,-0.024904173,-0.037838377
699,0.975913564,0.837204718,0.806886595,-0.080241568
700,null,null,null,null
