E14 log 2,SPB74 log 2,virido log 2,J1074 log 2,AA4 log 2
-2.022372007,-3.631998652,-1.384056416,-1.689447441,-2.766744165
-0.805492474,1.692712969,3.101874118,1.574587446,2.715127283
-1.341529196,-2.042091368,3.233085759,2.592300978,1.966610176
-2.999178085,3.362715126,3.445244278,2.607367046,1.774098988
-2.28030142,2.340862606,2.936076672,2.14703626,1.661442182
-1.748158093,2.575489092,2.676783017,2.148916217,1.294701661
-1.892996437,2.610820618,2.979939897,1.943610532,1.287756449
-1.649627107,1.896981035,1.566479138,0.783259125,0.80826527
-1.320210682,3.562424097,3.275074472,2.261210653,1.775520974
-1.83079808,2.560057842,2.422343046,1.819892885,1.24178384
-1.711578182,2.565051199,2.458330655,1.720059478,1.339013492
-1.677662635,1.888265519,2.696380258,1.662276781,1.381182184
-1.830564534,0.964686841,2.757950832,1.671852799,1.484780487
-2.336622992,3.569158305,3.700217932,2.780686756,2.036875341
-1.838138919,2.218590389,2.799013642,2.019885932,1.225593702
-2.051231111,3.789375256,2.989767709,2.390429787,2.074728286
-2.081895362,3.18809998,3.401453778,2.592450872,2.083889078
-1.856080029,-0.824643729,2.177204924,,0.040610758
0.120521136,0.16915096,0.108404467,0.623980376,-0.663111171
0.007474232,0.909369465,0.885790371,1.978878979,1.146101863
-1.733275897,2.761402749,1.949007261,1.335929803,1.525491698
-2.043514593,2.831836626,1.937297157,1.305858332,1.406036859
-2.211909439,3.418632116,2.327407878,1.742247037,1.696152615
-2.222692034,3.637672025,3.275340185,2.595075554,1.90092895
-0.497997264,1.509410311,1.100245529,0.012265098,-1.659307782
-2.283304864,3.563043916,2.611881574,1.703006051,1.478601041
-1.83541255,3.910430341,3.50109899,2.991605894,2.349687823
-2.267437935,3.039319701,2.651875399,1.953109504,1.784978024
-2.118169916,1.947858415,1.602991934,0.990700371,0.833518293
-1.372684654,2.33883815,1.478609188,0.694480713,0.891546719
-1.44130264,1.342343677,1.882727045,1.470920899,1.032518288
-1.678807555,3.333229467,2.082834728,1.232634383,1.255934823
-1.397707019,0.718343277,0.862150575,-0.074694664,0.13222933
-0.419320621,-0.590797961,-1.074437258,-0.953924648,-0.52965831
0.333172604,1.540275707,3.637925389,3.524682034,4.450377386
-0.154647234,-0.102813333,-0.147919671,-0.400895124,-0.382755588
-0.052701391,-0.655656603,-0.684413321,-1.297372069,-0.683764008
-2.593045623,-2.146571824,-0.652096447,-0.681774012,-0.281317337
,0,-0.119679182,-0.079063984,
0.345301981,1.143134416,0.194541744,0.007169891,0.178538886
-1.789016607,-1.824643729,1.551824746,0.762972737,0.040610758
-0.043304891,0.425201304,1.110441098,1.775995565,0.040610758
-0.389864521,-0.183618561,0.462239226,0.621756704,0.605885465
-0.072760493,0.139741656,0.81135927,1.045260535,0.277427397
-0.215169867,0.277753052,0.929926775,1.141033211,0.657033581
-0.261217477,0.165116132,-0.438068738,-0.832175794,-0.578178797
-0.487535928,-0.539082966,-0.079215534,-0.230546513,0.569559768
-0.243530443,-0.750401046,-0.613645576,-0.766473831,0.220390936
-0.0997708,0.257311461,-0.507816945,-1.223723004,-0.452258708
0.02524356,-2.34991785,-0.803903237,-0.962296359,0.01494813
-0.098060926,0.173290689,-1.400204809,-1.157100343,-1.22463204
-0.371899518,-1.824643729,-1.408629879,-0.603686148,-3.418204903
-0.221130498,0.38293022,1.770831925,2.084549046,0.635106032
-0.538266777,-2.335989084,-0.249466082,-0.706025328,-1.611397909
-0.733303172,-2.439668449,-0.636181231,-1.255834712,-2.541389876
